molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL18282,Cc1ccc(NC(=O)Nc2cc(C(C)(C)C)sc2C(=O)OCCCO)cc1,56.0,active
CHEMBL429973,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccccc1,44.0,active
CHEMBL279128,CNC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(F)cc1,88.0,active
CHEMBL279560,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(O)cc1,610.0,active
CHEMBL275580,CCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,3020.0,intermediate
CHEMBL278275,CCCOC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1ccc(C)cc1,482.0,active
CHEMBL278506,COC(=O)c1sc(C(C)(C)C)cc1NC(=O)Nc1cccc(Cl)c1Cl,180.0,active
CHEMBL18743,COC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1ccc(Cl)cc1,43.0,active
CHEMBL18103,CNC(=O)c1[nH]c(C(C)(C)C)cc1NC(=O)Nc1cccc2ccccc12,28.0,active
CHEMBL279342,COC(=O)c1c(NC(=O)Nc2ccccc2)cc(C(C)(C)C)n1C,947.0,active
