"","pIC50","SubFPC1","SubFPC2","SubFPC3","SubFPC4","SubFPC16","SubFPC18","SubFPC19","SubFPC23","SubFPC28","SubFPC49","SubFPC96","SubFPC100","SubFPC135","SubFPC137","SubFPC143","SubFPC171","SubFPC172","SubFPC179","SubFPC180","SubFPC181","SubFPC182","SubFPC183","SubFPC274","SubFPC280","SubFPC294","SubFPC295","SubFPC301","SubFPC302"
"167",8.69897000433602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,18,0,0,6,4,4
"168",6.14874165128092,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11,0,0,7,7,5
"169",7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,12,0,0,7,5,5
"170",6.65757731917779,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,11,0,0,7,7,5
"171",7.69897000433602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,23,0,0,8,3,1
"172",7.27572413039921,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,15,3,0,5,10,5
"173",5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,11,0,0,8,8,5
"174",7.45593195564972,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,17,0,0,11,9,7
"175",7.15490195998574,4,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,17,0,0,11,13,9
"176",6.79588001734408,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17,0,0,10,9,7
"177",7.88605664769316,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,17,0,0,12,8,7
"178",6.85387196432176,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,2,0,0,17,0,0,12,10,8
"179",6.3767507096021,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,17,0,0,12,10,7
"180",6.56863623584101,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17,0,0,10,8,7
"181",7.43179827593301,6,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,17,0,0,10,11,8
"182",6.73754891026957,5,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,17,0,0,11,16,11
"183",6.50863830616573,3,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,17,0,0,11,9,7
"184",7.3767507096021,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,17,0,0,10,10,7
"185",7.26760624017703,5,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,17,0,0,15,13,11
