,hv,std.error,Label,,,,,,,,,,
365,0.000523776,0.046908678,Internal,,,,,,,,,,
366,0.000866211,-1.134162313,Internal,,,,,,,,,,
367,0.000928653,-0.736795221,Internal,,,,,,,,,,
368,0.000651527,-0.175025272,Internal,,,,,,,,,,
369,0.000626382,-0.097689682,Internal,,,,,,,,,,
370,0.000464726,-0.191318453,Internal,,,,,,,,,,
371,0.000696347,0.081520259,Internal,,,,,,,,,,
372,0.00134788,-0.052808496,Internal,,,,,,,,,,
373,0.001050309,2.665680703,Internal,,,,,,,,,,
374,0.000707884,0.852127848,Internal,,,,,,,,,,
375,0.000769232,-1.674438688,Internal,,,,,,,,,,
376,0.001005754,-0.899975574,Internal,,,,,,,,,,
377,0.000504615,-0.420144784,Internal,,,,,,,,,,
378,0.000559098,-1.29515716,Internal,,,,,,,,,,
379,0.000460136,-0.529262951,Internal,,,,,,,,,,
380,0.000572297,0.118997813,Internal,,,,,,,,,,
381,0.000585288,0.775979365,Internal,,,,,,,,,,
382,0.000928653,-0.434830841,Internal,,,,,,,,,,
383,0.000520737,-0.217100743,Internal,,,,,,,,,,
384,0.000563552,0.144613742,Internal,,,,,,,,,,
385,0.000769232,-0.399648318,Internal,,,,,,,,,,
386,0.000763713,-0.603148019,Internal,,,,,,,,,,
387,0.00049689,-0.682353885,Internal,,,,,,,,,,
388,0.001050309,0.633549851,Internal,,,,,,,,,,
389,0.002603926,1.111536542,Internal,,,,,,,,,,
390,0.000468121,0.03647102,Internal,,,,,,,,,,
391,0.000459338,-0.332948309,Internal,,,,,,,,,,
392,0.000465973,-0.454557625,Internal,,,,,,,,,,
393,0.000475837,0.293088285,Internal,,,,,,,,,,
394,0.000769232,-0.661151523,Internal,,,,,,,,,,
395,0.001747155,-1.049819837,Internal,,,,,,,,,,
396,0.001550321,1.910933053,Internal,,,,,,,,,,
397,0.000611616,0.318225439,Internal,,,,,,,,,,
398,0.001050309,1.543805692,Internal,,,,,,,,,,
399,0.000965615,-0.021032317,Internal,,,,,,,,,,
400,0.000457814,-0.095346611,Internal,,,,,,,,,,
401,0.000786797,-0.418167669,Internal,,,,,,,,,,
402,0.000652562,0.165923089,Internal,,,,,,,,,,
403,0.000682144,0.136706673,Internal,,,,,,,,,,
404,0.000484715,0.110968159,Internal,,,,,,,,,,
405,0.000466181,0.120933881,Internal,,,,,,,,,,
406,0.000457532,-0.120916355,Internal,,,,,,,,,,
407,0.0004713,-0.082910629,Internal,,,,,,,,,,
408,0.001260439,-1.765776002,Internal,,,,,,,,,,
409,0.000720276,0.224515272,Internal,,,,,,,,,,
410,0.001382651,-0.079322876,Internal,,,,,,,,,,
411,0.000457461,-0.530563845,Internal,,,,,,,,,,
412,0.00061427,0.182382044,Internal,,,,,,,,,,
413,0.001345746,1.274022554,Internal,,,,,,,,,,
414,0.000572297,-0.235346412,Internal,,,,,,,,,,
415,0.000458027,-0.444715947,Internal,,,,,,,,,,
416,0.000682144,-0.78223758,Internal,,,,,,,,,,
417,0.000477396,0.602913664,Internal,,,,,,,,,,
418,0.000458408,-0.257892226,Internal,,,,,,,,,,
419,0.000720276,0.154584994,Internal,,,,,,,,,,
420,0.000483262,0.037840668,Internal,,,,,,,,,,
421,0.000490556,0.329479824,Internal,,,,,,,,,,
422,0.000599965,0.243557022,Internal,,,,,,,,,,
423,0.001382651,-0.673660932,Internal,,,,,,,,,,
424,0.00054311,-0.245200248,Internal,,,,,,,,,,
425,0.000508325,0.122188695,Internal,,,,,,,,,,
426,0.000501898,-0.299677623,Internal,,,,,,,,,,
427,0.000748057,-0.780086511,Internal,,,,,,,,,,
428,0.000799429,-0.041202613,Internal,,,,,,,,,,
429,0.001197429,-0.869667392,Internal,,,,,,,,,,
430,0.000626382,-0.097689682,Internal,,,,,,,,,,
431,0.000906701,-1.100015129,Internal,,,,,,,,,,
432,0.000644292,-0.187065733,Internal,,,,,,,,,,
433,0.004161268,2.363955113,Internal,,,,,,,,,,
434,0.000463506,-1.289959752,Internal,,,,,,,,,,
435,0.000651527,0.03493707,Internal,,,,,,,,,,
436,0.00109898,-0.447407746,Internal,,,,,,,,,,
437,0.002603926,1.111536542,Internal,,,,,,,,,,
438,0.002033729,-1.575599546,Internal,,,,,,,,,,
439,0.000973076,0.091044626,Internal,,,,,,,,,,
440,0.000605366,-0.230394322,Internal,,,,,,,,,,
441,0.000457513,0.134934754,Internal,,,,,,,,,,
442,0.000656647,0.695846353,Internal,,,,,,,,,,
443,0.00073831,0.194698229,Internal,,,,,,,,,,
444,0.000652562,0.314417794,Internal,,,,,,,,,,
445,0.001382651,-2.775217382,Internal,,,,,,,,,,
446,0.000458916,-0.041027626,Internal,,,,,,,,,,
447,0.000468868,-0.009744084,Internal,,,,,,,,,,
448,0.000458916,1.162994548,Internal,,,,,,,,,,
449,0.000483262,0.037840668,Internal,,,,,,,,,,
450,0.000924487,0.43671356,Internal,,,,,,,,,,
451,0.000778277,0.33143374,Internal,,,,,,,,,,
452,0.002272536,1.282123722,Internal,,,,,,,,,,
453,0.000459696,0.283313783,Internal,,,,,,,,,,
454,0.000547597,-0.384817882,Internal,,,,,,,,,,
455,0.002054439,-1.330635031,Internal,,,,,,,,,,
456,0.000587558,-1.158546446,Internal,,,,,,,,,,
457,0.00066913,0.016464589,Internal,,,,,,,,,,
458,0.000480903,-0.45602815,Internal,,,,,,,,,,
459,0.000928653,-0.959166416,Internal,,,,,,,,,,
460,0.000520737,-0.758180392,Internal,,,,,,,,,,
461,0.000605366,-0.20865663,Internal,,,,,,,,,,
462,0.00109898,-0.129124719,Internal,,,,,,,,,,
463,0.000574984,0.482428309,Internal,,,,,,,,,,
464,0.00049689,-0.277030118,Internal,,,,,,,,,,
465,0.000466101,-1.026104581,Internal,,,,,,,,,,
466,0.002272536,1.098834792,Internal,,,,,,,,,,
467,0.001050309,0.068540381,Internal,,,,,,,,,,
468,0.000475837,0.151049651,Internal,,,,,,,,,,
469,0.000458027,0.451936131,Internal,,,,,,,,,,
470,0.000463168,-0.534542141,Internal,,,,,,,,,,
471,0.000494135,-0.186139987,Internal,,,,,,,,,,
472,0.001382651,-0.552093047,Internal,,,,,,,,,,
473,0.000466673,0.249294679,Internal,,,,,,,,,,
